question,result_text,result_math
"Papaya ağacında 14 yeşil papaya var.  Cuma günü meyvelerden ikisi sararmış.  Pazar günü, Cuma gününün iki katı kadar meyve sararmıştır.  Ağaçta kaç tane yeşil papaya kalmıştır?","Başlangıçta 14 yeşil papaya var. Cuma günü 2'si sarardı, kalan 12. Pazar günü Cuma gününün iki katı kadar (2 * 2 = 4) sarardı, toplam sararan 6. Kalan yeşil: 14 - 6 = 8.",8.0
"Nova'nın şişirmeye gittiği 100 futbol topunun yüzde 40'ında delikler vardı ve şişirilemedi, kalan topların yüzde 20'si ise aşırı şişirildi ve patladı. Kaç top başarıyla şişirildi ve kullanılabildi?","100 topun %40'ı delikli olduğu için 40 top şişirilemez. Kalan 60 topun %20'si aşırı şişirilip patlar, yani 12 top patlar. Başarıyla şişirilen top sayısı 60 - 12 = 48'dir.",48.0
"Damien bir hobi olarak bardak toplar ve bunları vitrinlere koymaya karar verir. Uzun dolabında 20 bardak, geniş dolabında bunun iki katı bardak ve dar dolabında da üç rafa eşit olarak bölünmüş 15 bardak bulunmaktadır. Damien bardakları dar dolaba koyarken yanlışlıkla raflardan birini kırar. Tüm dolaplar doluysa, şu anda kaç bardak sergilenmektedir?","Uzun dolap: 20 bardak. Geniş dolap: 20'nin iki katı = 40 bardak. Dar dolap: 15 bardak üç rafa eşit dağıtılmış, her rafta 5 bardak. Bir raf kırılınca o raftaki 5 bardak sergilenemez. Kalan 2 rafta 10 bardak sergilenir. Toplam: 20+40+10=70.",70.0
"Mona sınıfta paylaşmak için 20 kurabiye getirdi. Jasmine, Mona'dan 5 daha az kurabiye getirdi. Rachel, Jasmine'den 10 tane daha fazla kurabiye getirdi. Mona, Jasmine ve Rachel sınıfta paylaşmak için toplam kaç kurabiye getirmiştir?","Mona 20 kurabiye getirdi. Jasmine, Mona'dan 5 eksik getirdi: 20 - 5 = 15. Rachel, Jasmine'den 10 fazla getirdi: 15 + 10 = 25. Toplam: 20 + 15 + 25 = 60.",60.0
"Oleg bir etkinlik organizatörüdür. Oleg, 40'ı erkek, erkeklerin yarısı kadar kadın ve geri kalanı çocuk olmak üzere 80 kişilik bir etkinlik düzenliyor. Davetli listesine 10 çocuk eklerse, etkinlikte kaç çocuk olacaktır?","Başlangıçta 80 kişi var. 40'ı erkek, erkeklerin yarısı kadar kadın (20) ve geri kalanı çocuk (80-40-20=20). 10 çocuk eklenince toplam çocuk 20+10=30 olur.",30.0
Bir kavşakta durmadan önce bir otobüsün içinde 28 öğrenci vardı. Kavşakta durduktan sonra otobüste 58 öğrenci vardı. Ara durakta otobüse binen öğrenci sayısının %40'ı kaçtır?,"Kavşakta durmadan önce 28 öğrenci vardı, durduktan sonra 58 öğrenci oldu. Binen öğrenci sayısı 58 - 28 = 30'dur. Bu sayının %40'ı ise 30 × 40 / 100 = 12'dir.",12.0
"Ethyl Lucy'ye bebek koleksiyonu için iki yeni bebek aldı.  Bu, bebek koleksiyonunu %25 oranında artırdı.  İki yeni bebeğin eklenmesinden sonra Lucy'nin koleksiyonunda kaç bebek vardır?","İlk başta Lucy'nin koleksiyonunda x bebek olsun. İki bebek eklenmesi %25 artışa eşit olduğundan, 2 = 0.25x denklemiyle x = 8 bulunur. İki bebek eklendikten sonra toplam 8 + 2 = 10 bebek olur.",10.0
"Sharon mutfak malzemeleri almak istiyor. Angela'nın 20 tencere, tencerelerin üç katından 6 fazla tabak ve tabakların yarısı kadar çatal bıçak takımından oluşan mutfak malzemelerine hayran kalmıştır. Sharon, Angela'nın yarısı kadar tencere, Angela'nın üç katından az 20 tabak ve Angela'nın iki katı kadar çatal bıçak takımı almak istiyor. Sharon'ın satın almak istediği toplam mutfak malzemesi sayısı kaçtır?","Önce Angela'nın malzemeleri: tencere 20, tabak 3*20+6=66, çatal bıçak 66/2=33. Sharon: tencere 20/2=10, tabak 3*20-20=40, çatal bıçak 2*33=66. Toplam 10+40+66=116.",116.0
"Bir köpek kuaförünün beagle gibi kısa tüylü bir köpeği kurulaması 10 dakika sürer.  Alman çoban köpeği gibi uzun tüylü, kabarık bir köpeği kurutması ise iki kat daha uzun sürüyor.  Bir sabah, kurutması gereken 6 kısa tüylü ve 9 uzun tüylü köpeği var.  Tüm köpekleri kurutması kaç saatini alır?","Kısa tüylü köpek kurutma süresi 10 dakika, uzun tüylü köpek kurutma süresi 20 dakikadır. 6 kısa tüylü için 60 dakika, 9 uzun tüylü için 180 dakika, toplam 240 dakika. 240 dakika 4 saat eder.",4.0
"Russell bir evcil hayvan dükkanında çalışmaktadır ve kemirgenler arasında saman dağıtmaktadır. Sıçanlar eşit gruplar halinde 3 kafeste tutuluyor ve her bir sıçana 6 parça saman veriliyor. Tek başına tutulan 10 hamster kafesi var ve her hamstera 5 parça saman veriliyor. Ayrıca tavşanlardan oluşan bir kafes vardır ve burada tavşanlar arasında 20 adet saman dağıtılmaktadır. Mağazanın başka hiçbir yerinde saman kullanılmamaktadır. Küçük kemirgenler arasında 160 adet saman dağıtıldıysa, her kafeste kaç fare vardır?","Sıçanlar 3 kafeste eşit sayıda bulunur. Her sıçana 6 saman verildiğine göre sıçanlara verilen toplam saman 3 *3 * (kafes başı sıçan sayısı) * 6 = 18 * (kafes başı sıçan sayısı) olur.
Hamsterlar: 10 kafes, her kafeste 1 hamster, her hamstera 5 saman → 10 * 5 = 50 saman.
Tavşanlar: 1 kafes, toplam 20 saman.
Eğer küçük kemirgenler tüm kemirgenleri (sıçan, hamster, tavşan) kapsıyorsa toplam saman 18x + 50 + 20 = 160 olur. Bu denklemden 18x = 90, x = 5 bulunur. Yani her kafeste 5 sıçan vardır.",5.0
Aron haftada üç gün 30 dakika/gün süpürme ve haftada 2 gün 20 dakika/gün toz alma işiyle uğraşıyor. Her hafta temizlik için toplam ne kadar zaman harcıyor?,Haftada 3 gün süpürme (30 dakika/gün) ve 2 gün toz alma (20 dakika/gün) yapıyor. Süpürme süresi: 3 x 30 = 90 dakika. Toz alma süresi: 2 x 20 = 40 dakika. Toplam: 90 + 40 = 130 dakika.,130.0
"Bir meyve bahçesindeki 200 elmanın yüzde 40'ı çürüktü. Ayrıca, çürük elmaların yüzde 70'i kokuyordu. Meyve bahçesindeki kaç çürük elma kokmuyordu?","Toplam 200 elmanın %40'ı çürük olduğundan çürük elma sayısı 80'dir. Çürük elmaların %70'i kokuyorsa, kokan çürük elma sayısı 56 olur. Kokmayan çürük elma sayısı ise 80 - 56 = 24'tür.",24.0
"John tüm şapkalarını değiştirmeye karar verir.  İki hafta boyunca her gün farklı bir şapka takacak kadar şapkası vardır.  Her bir şapka 50 $ tutuyorsa, şapkalarının maliyeti ne kadardır?","John iki hafta boyunca her gün farklı bir şapka takacak kadar şapkaya sahip. İki hafta 14 gündür, bu nedenle 14 şapka alması gerekir. Her şapka 50 $ olduğuna göre toplam maliyet 14 * 50 = 700 $ olur.",700.0
"Bir futbol takımının 105 üyesi vardır.  Hücumda, savunmadakinin iki katı kadar oyuncu vardır. Özel takımda da savunmadakinin yarısı kadar oyuncu var.  Savunmada kaç oyuncu var?","Savunmadaki oyuncu sayısına x diyelim. Hücumda savunmadakinin iki katı kadar oyuncu varsa, hücumdaki oyuncu sayısı 2x olur. Özel takımda savunmadakinin yarısı kadar oyuncu varsa, özel takımdaki oyuncu sayısı x/2 olur. Toplam oyuncu sayısı 105 olduğuna göre, x + 2x + x/2 = 105 denklemi kurulur. Bu denklemi çözmek için önce terimleri toplarız: 3x + x/2 = 105. Paydaları eşitlersek (6x/2 + x/2) = 105, yani 7x/2 = 105. Her iki tarafı 2 ile çarparsak 7x = 210, ardından x = 30 bulunur. Yani savunmada 30 oyuncu vardır.",30.0
"Dominick takımının soyunma odasına gitti ve orada tutulan kaskların yarısı kadar robot ve futbol toplarının yarısı kadar kask gördü. Eğer 20 kask varsa, Dominick'in gördüğü toplam öğe sayısını hesaplayın.","Kask sayısı 20 olarak verilmiş. Kaskların yarısı kadar robot vardır, yani robot sayısı = 20 / 2 = 10. Futbol toplarının yarısı kadar kask vardır, yani kask sayısı futbol toplarının yarısı olduğundan, futbol topu sayısı = 2 * 20 = 40. Toplam öğe sayısı = 20 + 10 + 40 = 70.",70.0
Ali'nin vefat eden iş arkadaşının ailesine ve akrabalarına ulaşmak için bir telefon ağacı kullanılır. Ali 3 aileyi aramaya karar verdi. Sonra her aile diğer 3 aileyi arar ve bu böyle devam eder. Dördüncü arama turunda kaç aileye haber verilecektir?,"Ali ilk turda 3 aileyi arar. İkinci turda her aile 3 yeni aile arar, toplam 3×3=9 aile. Üçüncü turda 9 aile 3'er aile arar, 9×3=27 aile. Dördüncü turda 27 aile 3'er aile arar, 27×3=81 aile.",81.0
"Aaron'un birkaç kardeşi var. Bennett'in 6 kardeşi var. Bennett'in kardeşlerinin sayısı Aaron'un kardeşlerinin sayısının iki katından iki eksikse, Aaron'un kardeşlerinin sayısı kaçtır?","Bennett'in 6 kardeşi var ve bu sayı Aaron'un kardeş sayısının iki katından iki eksik. Denklem: 2a - 2 = 6, buradan 2a = 8, a = 4.",4.0
"James evin kahve ihtiyacını karşılıyor.  Evde 3 kişi daha var ve herkes günde 2 fincan kahve içiyor.  Her bir fincan kahve için 0,5 ons kahve gerekiyor.  Kahvenin onsu 1,25 dolarsa, James haftada kahveye ne kadar harcıyor?","James dahil evde 4 kişi var. Her biri günde 2 fincan kahve içer, toplam günlük 8 fincan. Her fincan için 0,5 ons gerektiğinden günde 4 ons kahve kullanılır. Ons başına 1,25 dolar olduğundan günlük maliyet 5 dolar, haftalık 35 dolar.",35.0
Mark tiyatroda gösteri izlemeyi çok seviyor. Haftada en az bir kez tiyatroya gitmeye karar verdi. Bir gösteri 3 saat sürmektedir. Bilet fiyatı tiyatroda geçirilen süreye bağlıdır ve her saat için 5 dolardır. Mark 6 hafta içinde tiyatro ziyaretleri için ne kadar harcayacaktır?,"Bir gösteri 3 saat sürer ve saatlik ücret 5 dolar olduğundan, her ziyaret 3 * 5 = 15 dolar tutar. Mark haftada en az bir kez gideceğine göre, 6 haftada en az 6 kez gider. Toplam harcama 6 * 15 = 90 dolar olur.",90.0
"150 öğrencinin %60'ı kız, geri kalanı ise erkektir. Erkeklerin sadece 1/3'ü üniversite kulüplerine katılmıştır. Erkeklerin kaçı üniversite kulüplerine katılmamıştır?","Toplam 150 öğrenci var. %60 kız olduğuna göre kız sayısı 150 * 60/100 = 90, erkek sayısı 150 - 90 = 60. Erkeklerin 1/3'ü katıldıysa katılan erkek sayısı 60 * 1/3 = 20, katılmayan erkek sayısı 60 - 20 = 40.",40.0
Marketin rafında 35 şişe süt vardır. Jason şişelerin 5'ini ve Harry 6'sını daha satın alıyor. Jason ve Harry süt aldıktan sonra market rafında kaç şişe süt kalmıştır?,"Market rafında başlangıçta 35 şişe süt var. Jason 5 şişe, Harry 6 şişe satın alıyor. Toplam alınan şişe sayısı 5 + 6 = 11'dir. Kalan şişe sayısı sayısı 35 - 11 = 24'tür.",24.0
"Mustafa toplam 1600 $ bütçe ile bir buzdolabı, bir TV ve bir bilgisayar satın alır. Televizyonun fiyatı 600$ ve buzdolabının fiyatı bilgisayardan 500$ daha fazladır. Bilgisayarın fiyatı ne kadardır?","Televizyon 600$, bilgisayar x$, buzdolabı x+500$. Toplam: 600 + (x+500) + x = 1600. Denklem çözülür: 1100 + 2x = 1600, 2x = 500, x = 250.",250.0
Bir tren istasyonunda bekleyen 4 tren vardır ve her trenin 4 vagonu vardır. Her vagonun 3 sıra tekerleği ve tekerlek sıralarının her birinin 5 tekerleği vardır. Tren istasyonunda kaç tekerlek vardır?,"Her biri 4 vagonlu 4 tren var, toplam 16 vagon eder. Her vagonda 3 sıra tekerlek ve her sırada 5 tekerlek olduğundan, vagon başına 15 tekerlek düşer. 16 vagon için 16 × 15 = 240 tekerlek vardır.",240.0
"Bir kamyon en fazla 13.500 kg malzeme taşıyabilir. Dün kamyona her biri 100 kg ağırlığında 100 kutu yüklendi. Daha sonra, her biri 60 kg ağırlığında 10 kasa yüklendi. Bugün, her biri 50 kg ağırlığında 50 çuval ile tekrar yüklendi. Her biri 40 kilogram ağırlığında kaç çuvalı kamyona yükleyebiliriz?",Kamyonun toplam kapasitesi 13.500 kg. Dün 100 kutu (100 kg) ve 10 kasa (60 kg) yüklendi: 100×100 + 10×60 = 10.000 + 600 = 10.600 kg. Bugün 50 çuval (50 kg) yüklendi: 50×50 = 2.500 kg. Toplam yük 10.600 + 2.500 = 13.100 kg. Kalan kapasite 13.500 - 13.100 = 400 kg. 40 kg'lık çuvallardan 400 / 40 = 10 tane yüklenebilir.,10.0
Jamie 32 onstan fazla sıvı aldığında tuvalete gitmesi gerektiğini biliyor ve öğretmeni matematik sınavı sırasında kimsenin tuvalete gidemeyeceğini söyledi. Öğle yemeğinde bir bardak süt ve teneffüste bir bardak üzüm suyu içtiğini hatırlıyor. Sınav sırasında tuvalete gitmeden önce su şişesinden kaç ons içebilir? (Bir fincan 8 onsa ve bir yarım litre 16 onsa eşittir.),Jamie'nin tuvalete gitmemesi için toplam sıvı alımı 32 onsu geçmemelidir. Öğle yemeğinde bir bardak süt (8 ons) ve teneffüste bir bardak üzüm suyu (8 ons) içtiğine göre toplam 16 ons almıştır. Bu nedenle su şişesinden en fazla 32 - 16 = 16 ons içebilir.,16.0
"Eskiden elmanın kilosu 1,6 dolardı.  Fiyata %25 zam yapıldı.  Dört kişilik bir ailedeki her bir kişi için 2 kilo elma almanın maliyeti nedir?","Eski fiyat 1,6 dolar. %25 zamla yeni fiyat 2 dolar olur. 4 kişi her biri 2 kilo alırsa toplam 8 kilo. 8 * 2 = 16 dolar.",16.0
"Janice'in 2 saat sonra bir film izlemeye gitmesi gerekiyor. Gitmeden önce 30 dakika süren ev ödevini bitirmesi, ev ödevinin yarısı kadar süren odasını temizlemesi, ev ödevini yapmaktan 5 dakika daha fazla süren köpeğini gezdirmesi ve ev ödevini yapmak için harcadığı sürenin 1/6'sı kadar süren çöpü dışarı çıkarması gerekiyor. Janice'in film başlamadan önce kaç dakikası daha var?","Janice'in toplam 2 saati (120 dakika) var. Ev ödevi 30 dakika, odasını temizleme 15 dakika, köpeği gezdirmek 35 dakika, çöpü çıkarmak 5 dakika sürüyor. Toplam 30+15+35+5=85 dakika. Kalan süre 120-85=35 dakika.",35.0
"Aleksandra akşam yemeği için bir restorana gitti. Biraz çorba, bir simit ve bir parça kek sipariş etti. Simit 4 dolar, çorba ise %25 daha fazlaydı. Kek, simit fiyatının sadece yarısı kadardı. Aleksandra'nın sipariş ettiği akşam yemeği için ne kadar ödemesi gerekiyordu?",Simit 4 dolar. Çorba simitten %25 daha fazla olduğu için 4 + 4*0.25 = 5 dolar. Kek simit fiyatının yarısı olduğu için 4/2 = 2 dolar. Toplam: 4 + 5 + 2 = 11 dolar.,11.0
"Bir yol dört şeritlidir ve her şeritteki otomobil sayısı tüm şeritlerdeki kamyon sayısının iki katıdır. Her şeritte 60 kamyon varsa, tüm şeritlerdeki toplam araç sayısını hesaplayınız?","Her şeritte 60 kamyon olduğuna göre, 4 şeritte toplam 4×60=240 kamyon vardır. Her şeritteki otomobil sayısı, tüm şeritlerdeki kamyon sayısının iki katı olduğundan, bir şeritte 2×240=480 otomobil bulunur. Dört şeritte toplam 4×480=1920 otomobil vardır. Toplam araç sayısı ise 240 kamyon + 1920 otomobil = 2160'tır.",2160.0
"Peter markete gitmek için 2,5 mil yürümek zorundadır. Bir mil yürümesi 20 dakika sürüyorsa ve zaten 1 mil yürümüşse, markete ulaşmak için kaç dakika daha yürümesi gerekir?","Kalan mesafe 2.5 - 1 = 1.5 mil. Her mil 20 dakika sürdüğüne göre, 1.5 mil için 1.5 × 20 = 30 dakika gerekir.",30.0
Karen kışlık mont seçeneklerini değerlendiriyor. Paltolardan birinin fiyatı 300 dolar ve 15 yıl dayanacak. Diğer montun fiyatı 120 dolar ve beş yıl dayanacak. Karen daha pahalı olanı satın alarak 30 yıl boyunca ne kadar para tasarruf eder?,"Pahalı mont 300 dolar ve 15 yıl dayanıyor, 30 yıl için 2 tane gerekir: 600 dolar. Ucuz mont 120 dolar ve 5 yıl dayanıyor, 30 yıl için 6 tane gerekir: 720 dolar. Tasarruf: 720 - 600 = 120 dolar.",120.0
"Camden Mart ayında 16 kez, Susannah ise 24 kez yüzmeye gitmiştir. Ay boyunca yüzmeye gittikleri süre 4 haftaya eşit olarak bölünürse, Susannah haftada Camden'dan kaç kez daha fazla yüzmüştür?",Camden'ın haftalık yüzme sayısı: 16 / 4 = 4 hafta × haftada x kez → x = 16/4 = 4. Susannah'ın haftalık yüzme sayısı: 24 = 4 hafta × haftada y kez → y = 24/4 = 6. Fark: 6 - 4 = 2.,2.0
"Bir fan saniyede 10 litre hava akımı yaratabilir. Fan her gün 10 dakika çalışıyorsa, bir haftada oluşturacağı hava akımı miktarını hesaplayın.","Fan haftada 7 gün, her gün 10 dakika çalışır. Toplam süre 70 dakikadır. Dakikada 60 saniye olduğundan toplam saniye 70×60=4200 saniyedir. Saniyede 10 litre hava akımı oluşturduğundan toplam hava akımı 4200×10=42000 litredir.",42000.0
"Bazı öğrenciler bir kırtasiyeden kalem almak isterler. Bir kalemin fiyatı 20 senttir. Tolu 3 kalem, Robert 5 kalem ve Melissa 2 kalem istiyor. Öğrenciler kırtasiye dükkanında toplam ne kadar (dolar olarak) harcayacaklardır?",Toplam kalem sayısı: 3+5+2=10. Her kalem 20 sent = 0.20 dolar. Toplam harcama: 10×0.20*10 = 2 dolar.,2.0
"Michigan Gölü'ne giden ördek sayısının iki katından altı fazlası Kuzey Göleti'ne gitmektedir. Michigan Gölü'nde 100 ördek varsa, North Pond'da kaç ördek olacağını güvenle tahmin edebilirsiniz?","Michigan Gölü'ndeki ördek sayısı 100'dür. Kuzey Göleti'ndeki ördek sayısı, Michigan Gölü'ndeki sayının iki katından altı fazladır. Bu durumda 2 × 100 + 6 = 206 olur.",206.0
"Dört günlük bir yolculukta Carrie ilk gün 135 mil, ikinci gün 124 mil daha, üçüncü gün 159 mil ve dördüncü gün 189 mil yol kat etti. Her 106 milde bir telefonunu şarj etmesi gerekiyorsa, tüm yolculuk boyunca telefonunu kaç kez şarj etmiştir?","Toplam mesafe = 135 + 124 + 159 + 189 = 607 mil. Her 106 milde bir şarj gerekiyor. 607'yi 106'ya bölünce 5 tam bölüm elde edilir (5×106=530, kalan 77). Bu, 5 kez 106 mil yapıldığında şarj edildiği anlamına gelir. Başlangıç şarjı sayılmaz, bu yüzden 5 kez şarj etmiştir.",5.0
"John'un kumbarasında çeyreklikler, onluklar ve beşlikler var.  Çeyrekliklerden üç tane daha fazla on senti ve çeyrekliklerden 6 tane daha az nikeli var.  Eğer 63 bozuk parası varsa, John'un kaç tane çeyrekliği vardır?","Çeyreklik sayısına q diyelim. On sentler q+3, beşlikler q-6 olur. Toplam para sayısı q + (q+3) + (q-6) = 3q - 3 = 63 olduğundan 3q = 66 ve q = 22 bulunur.",22.0
"Salıncak için bekleyen 3 çocuk ve kaydırak için bekleyen iki kat fazla çocuk var. Her çocuk salıncak için 2 dakika ve kaydırak için 15 saniye bekliyorsa, daha kısa süre bekleyen çocuk kaç saniye daha kısa bekler?","Salıncak için bekleyen çocuk 2 dakika bekler, bu 120 saniyedir. Kaydırak için bekleyen çocuk 15 saniye bekler. Fark: 120 - 15 = 105 saniye. Yani kaydırak bekleyen çocuk 105 saniye daha kısa bekler.",105.0
Julia'nın internet hızı 20 MBps (saniye başına megabayt). Şarkı başına düşen boyut 5MB ise yarım saatte kaç şarkı indirebilir?,Yarım saat 1800 saniyedir. 20 MBps hızla 1800 saniyede indirilen toplam veri 20 * 1800 = 36000 MB olur. Her şarkı 5 MB olduğundan 36000 / 5 = 7200 şarkı indirilebilir.,7200.0
"Dolly dönme dolaba iki kez, lunapark trenine üç kez ve kütük arabasına yedi kez binmek istiyor. Dönme dolap 2 bilete, roller coaster 5 bilete ve log ride 1 bilete mal olur. Dolly'nin 20 bileti vardır. Dolly kaç bilet daha almalıdır?","Dönme dolap 2 kez: 2×2=4 bilet, lunapark treni 3 kez: 3×5=15 bilet, kütük arabası 7 kez: 7×1=7 bilet. Toplam 4+15+7=26 bilet gerekli. 20 bileti var, 26-20=6 bilet eksik.",6.0
John'un arabası 30 mpg yakıyor.  Haftada 5 gün işe her yönden 20 mil gidiyor.  Ayrıca haftada 40 mil daha boş zamanlarında seyahat ediyor. Haftada kaç galon benzin kullanıyor?,"Haftada işe gidiş-dönüş 5 gün boyunca her gün 40 mil (20+20) = 200 mil, boş zaman 40 mil, toplam 240 mil. Araç 30 mil/galon olduğundan, 240/30 = 8 galon.",8.0
"Forest ve arkadaşları, arkadaşları Juelz için 240 parçadan oluşan bir doğum günü pastası hazırladılar. Doğum günü şarkısını söyledikten sonra pastanın %60'ını yediler ve daha sonra Juelz kalan parçaları üç kız kardeşi arasında paylaştırdı. Her kız kardeşin aldığı pasta parçası sayısı kaçtır?",Toplam 240 parça pasta. İlk olarak %60'ı yenir: 240 × 60/100 = 144 parça. Kalan pasta: 240 - 144 = 96 parça. Kalan 96 parça 3 kız kardeşe eşit paylaştırıldığında her birine 96 / 3 = 32 parça düşer.,32.0
"John haftada 3 gün yayın yapmıyor.  Yayın yaptığı günlerde, bir seferde 4 saat yayın yapıyor ve saatte 10 dolar kazanıyor.  Haftada ne kadar kazanıyor?","John haftada 7 gün var, 3 gün yayın yapmıyor, yani yayın yaptığı gün sayısı 4. Her yayın gününde 4 saat yayın yapıyor, toplam 4 * 4 = 16 saat. Saatte 10 dolar kazandığına göre haftalık kazanç 16 * 10 = 160 dolar.",160.0
"Bir otobüs durağında, günde 12 saat boyunca her yarım saatte bir otobüs kalkmaktadır. İstasyondan 5 gün boyunca kaç otobüs kalkar?",Günde 12 saat boyunca her yarım saatte bir otobüs kalktığı için bir günde 24 otobüs kalkar. 5 günde ise 24×5=120 otobüs kalkar.,120.0
"John arkadaşlarıyla bir poker gecesi düzenlemektedir ve arkadaşları gelmeden önce kâğıt destelerini hazırlamaktadır. Çeşitli destelerden çok sayıda kart kaybettikten sonra John, gece için yeterince dolu destesi olduğundan emin olmak için tam olarak kaç kartı olduğunu sayması gerektiğini düşünür. Her deste 52 kart içermelidir. Yarı dolu 3 deste ve tam dolu 3 deste kart bulur. Bunları düzenlerken, kartların çoğunun kalitesinin oldukça düşük olduğunu fark eder ve 34 kartı çöpe atmaya karar verir. John'un şu anda kaç kartı var?","John'da yarı dolu 3 deste var, her biri 52/2 = 26 kart içerir. Tam dolu 3 deste ise her biri 52 kart içerir. Toplam kart sayısı: 3 * 26 + 3 * 52 = 78 + 156 = 234. Ardından 34 kartı çöpe atar, kalan kart sayısı: 234 - 34 = 200.",200.0
